artist_name,total_tracks,Genre_Name
Boston Symphony Orchestra & Seiji Ozawa,1,Classical
Charles Dutoit & L'Orchestre Symphonique de Montr�al,1,Classical
Ton Koopman,1,Classical
"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",1,Classical
The 12 Cellists of The Berlin Philharmonic,1,Classical
Antal Dor�ti & London Symphony Orchestra,1,Classical
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",1,Classical
Maurizio Pollini,1,Classical
Luciano Pavarotti,1,Classical
Nicolaus Esterhazy Sinfonia,1,Classical
Adrian Leaper & Doreen de Feis,1,Classical
"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer",1,Classical
Michele Campanella,1,Classical
Berliner Philharmoniker & Hans Rosbaud,1,Classical
"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",1,Classical
"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",1,Classical
Leonard Bernstein & New York Philharmonic,1,Classical
Itzhak Perlman,1,Classical
"Roger Norrington, London Classical Players",1,Classical
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",1,Classical
Martin Roscoe,1,Classical
Aaron Copland & London Symphony Orchestra,1,Classical
G�teborgs Symfoniker & Neeme J�rvi,1,Classical
Luciana Souza/Romero Lubambo,1,Latin
Orchestra of The Age of Enlightenment,1,Classical
Cake,1,Alternative
James Levine,1,Classical
Yo-Yo Ma,1,Classical
Yehudi Menuhin,1,Classical
Les Arts Florissants & William Christie,1,Classical
"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu",1,Classical
"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",1,Classical
Sir Georg Solti & Wiener Philharmoniker,1,Classical
Christopher O'Riley,1,Classical
Otto Klemperer & Philharmonia Orchestra,1,Classical
"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",1,Classical
Royal Philharmonic Orchestra & Sir Thomas Beecham,1,Classical
Orchestre R�volutionnaire et Romantique & John Eliot Gardiner,1,Classical
Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,1,Classical
Aquaman,1,TV Shows
Aaron Goldberg,1,Jazz
Calexico,1,Alternative
Scholars Baroque Ensemble,1,Classical
Philip Glass Ensemble,1,Soundtrack
Nash Ensemble,1,Classical
London Symphony Orchestra & Sir Charles Mackerras,1,Classical
Dread Zeppelin,1,Rock
